fips,county,attain_nohs,attain_nohsdiploma,attain_hs,attain_somecol,attain_aa,attain_ba,attain_grad,attain_hsup,attain_baup,MYS,enrol_preschool,thirdgrade_reading,thirdgrade_maths,suspensions,juvenile_felony,highered_enroll,hs_grad_rate,college_readiness,discon_youth,econ_con,expo,child_exposure,bias_grp_mem,child_bias,clustering,support_ratio,volunteering_rate,association_rate,civic_orgs
06001,Alameda,6.2,5.800000000000001,17.599999999999998,17.9,6.5,26.400000000000002,19.5,88.0,46.0,14.173093053984593,56.39999999999999,54.0,56.89999999999999,32.9,5.3,54.800000000000004,85.0,56.599999999999994,7.7,0.91564,1.0897,0.99080998,0.052530002,-0.0017199999,0.086630002,0.94234997,0.071089998,6.3727898963,0.01575
06003,Alpine,3.2,7.9,28.7,26.1,4.1000000000000005,19.0,11.0,88.9,30.0,13.605229591836734,52.2,0.0,0.0,,,46.300000000000004,,0.0,18.1,,,,,,0.091637172,0.87769938,0.14653735,9.009009009,0.082809731
06005,Amador,2.5,7.199999999999999,28.7,29.599999999999998,11.700000000000001,13.200000000000001,7.1,90.3,20.3,13.409671409214093,27.0,39.0,38.0,60.0,,22.2,89.0,23.5,21.3,0.92817998,0.99852002,1.11361,0.043450002,9.9999997e-06,0.10103,0.98970997,0.13452999,9.1889408394,0.02789
06007,Butte,3.9,6.800000000000001,22.7,29.799999999999997,10.299999999999999,17.5,9.0,89.3,26.5,13.553644600716748,50.4,41.4,42.9,58.1,4.7,59.599999999999994,86.0,32.6,10.5,0.80008,0.85916001,0.94774997,0.075659998,0.02887,0.097589999,0.98411,0.093960002,7.6305060534,0.017240001
06009,Calaveras,3.3000000000000003,6.3,27.6,31.8,12.3,12.7,6.0,90.4,18.7,13.317221547887405,38.7,38.1,32.800000000000004,58.8,,33.300000000000004,94.0,35.9,18.1,0.92421001,0.95861,1.18524,0.04967,0.025429999,0.10166,0.98408002,0.097350001,8.2537699652,0.028860001
06011,Colusa,19.7,11.0,23.7,20.599999999999998,9.700000000000001,11.5,3.9,69.39999999999999,15.4,11.605581634149921,27.3,42.3,43.0,48.3,,41.699999999999996,91.0,19.0,13.5,0.58380002,0.80445999,0.84140003,0.15536,0.020190001,0.12258,0.99716997,0.051490001,7.4480960804,0.015769999
06013,Contra Costa,5.800000000000001,4.9,17.599999999999998,21.8,8.3,26.1,15.6,89.4,41.699999999999996,14.056174833026587,54.1,51.6,52.0,41.2,2.6,46.2,89.0,54.6,9.6,0.88687998,1.06259,1.16116,0.1068,0.015760001,0.089469999,0.95846999,0.053070001,5.4138247785,0.01432
06015,Del Norte,4.5,14.499999999999998,31.5,26.900000000000002,8.3,8.3,6.0,81.0,14.299999999999999,12.817924576837989,39.0,30.2,28.599999999999998,42.4,,27.500000000000004,35.0,16.400000000000002,30.099999999999998,0.63748002,0.69059002,0.74049002,0.12916,0.042180002,0.12148,0.99712002,0.066780001,6.2376164967,0.025429999
06017,El Dorado,2.3,4.6,21.2,27.1,11.0,21.7,12.0,93.10000000000001,33.7,14.05286677157873,51.1,55.50000000000001,55.300000000000004,37.5,1.7,38.1,92.0,50.6,9.5,1.01846,1.13413,1.22497,0.090219997,0.021849999,0.087700002,0.96995002,0.10019,5.8551818359,0.01701
06019,Fresno,14.2,10.5,22.900000000000002,23.200000000000003,8.5,13.8,6.9,75.3,20.7,12.244375990142581,40.0,46.7,48.0,54.2,4.8,42.3,82.0,46.300000000000004,15.9,0.57849997,0.64928001,0.80844003,0.093259998,0.072240002,0.085189998,0.97832,0.033690002,5.1289363304,0.0089199999
