fips,county,serv_to_trad_ratio,lq_agmine,lq_manuf,lq_info,lq_profscitech,lq_health,lqgrow_agmine,lqgrow_manuf,lqgrow_info,lqgrow_profscitech,lqgrow_health,occupation_manag_bus_sci_arts,occupation_services,occupation_sales_office,occupation_natresource_constr_maintenance,occupation_prod_transp_materialmoving,industry_ag_dor_fishhunt_mining,industry_constr,industry_manuf,industry_wholesale,industry_retail,industry_transp_warehous_utilit,industry_information,industry_financeinsurance_restaterental,industry_professional_sci_manage_adminwastemanageserv,industry_educ_health_socassist,industry_art_entert_rec_accomfoodserv,industry_otherserv,industry_pubadmin
06001,Alameda,3.845499358456598,0.05206543226109219,1.2474543042875939,1.5738187793762994,1.4669054957449854,0.9338088631432319,0,1,1,1,0,49.1,15.8,18.8,6.2,10.0,0.4,5.3,10.0,2.5,9.0,5.0,3.5,6.2,19.1,21.7,8.9,5.0,3.4
06003,Alpine,,0.0,0.0,0.0,0.0,0.4534346723104676,0,0,0,0,0,31.1,21.6,20.8,16.1,10.4,3.8,5.7,0.0,0.0,16.7,11.2,4.1,1.4,9.3,15.8,16.1,4.9,10.9
06005,Amador,3.012054832955889,2.611271483756723,0.9627633367765858,0.8771092912329504,0.5602111761057303,1.1143334250375188,1,0,0,0,1,32.8,23.0,23.9,11.1,9.3,4.5,6.9,4.5,1.0,11.9,5.5,2.0,3.3,9.9,19.8,14.9,5.2,10.6
06007,Butte,3.7911887798692248,0.6566207689824551,0.7775661189440523,0.5818682483551967,0.5957653234659953,1.5205256925903687,0,0,0,0,1,36.2,21.7,21.6,9.0,11.6,4.0,5.8,6.6,1.8,13.5,3.5,1.8,5.3,9.3,27.4,11.8,4.8,4.4
06009,Calaveras,5.352907296881626,1.6004095256189665,0.6876412878720451,0.6157588649896348,0.6534286681297942,1.0225776068828933,0,0,0,0,0,33.6,19.6,24.4,11.6,10.8,3.0,11.6,8.1,2.0,11.2,5.1,1.9,4.2,12.5,20.7,7.9,4.4,7.5
06011,Colusa,1.560581323715088,3.3966768137751493,1.9562104631202266,0.20615984741997814,0.15586269944334985,0.6707635670384846,1,1,0,0,0,23.5,17.8,16.6,26.3,15.7,27.4,4.8,10.0,2.4,9.5,5.4,0.3,3.5,4.3,12.4,13.7,2.0,4.3
06013,Contra Costa,,0.09076700845159773,0.5146011142256381,1.245319751112785,1.1046959362720683,1.1151391379429485,0,0,1,0,1,43.9,17.7,21.7,7.8,9.0,0.7,7.1,6.7,2.3,10.3,5.3,2.8,8.5,16.1,22.0,9.0,5.2,4.0
06015,Del Norte,4.662923503907299,3.130403389120309,0.3775515429625858,0.8297151700047496,0.35258136198664686,1.8963350433947768,1,0,0,0,1,32.8,31.6,17.3,9.3,9.0,4.3,4.3,3.6,0.9,11.6,1.9,0.7,3.0,5.5,28.1,13.0,3.9,19.1
06017,El Dorado,5.724064380512736,0.4410087871340443,0.6040298680536244,0.6209079696817481,0.7869425557996098,0.9133531556033978,0,0,0,0,0,41.5,19.1,22.8,8.2,8.4,1.3,7.7,6.9,1.7,11.2,4.1,2.2,7.7,12.9,20.1,12.4,4.9,6.9
06019,Fresno,2.1896648141917368,1.6198150773049098,1.0634329165396188,0.6028915122840748,0.6116543701824994,1.1369441229607302,0,1,0,0,1,29.7,19.6,21.2,15.1,14.4,9.9,5.7,7.3,3.5,10.5,5.0,1.3,4.7,8.5,23.9,8.7,4.8,6.2
06021,Glenn,0.7377538905882721,9.011205535885514,1.8400139395984854,0.0,0.25567283424060827,0.6315112942243151,1,1,0,0,0,22.4,18.3,17.7,23.5,18.1,23.7,5.0,8.3,1.8,12.7,5.3,0.5,1.8,4.2,17.7,8.0,5.9,5.0
06023,Humboldt,,2.2918595455342805,0.6899053158824318,0.4581151619609548,0.791821287572025,1.290472509946438,1,0,0,0,1,33.9,23.5,22.7,9.9,10.0,4.8,6.8,4.2,2.4,13.6,3.8,1.4,4.2,8.8,25.7,12.7,5.0,6.7
