fips,county,water_violation,particulate_matter,uninsured,life_exp,years_lost,limited_healthyfood,food_insec,severe_housing,rent_costburden,housing_costburden,housing_afford,homelessness,eviction,resid_vacancy,crime_rate,vehicle_avail,commute_time,commute_alone,commute_long,access_finance_insurance,access_bankingcredit,access_childcare,access_broadband,r1_univ,r1and2_univ,rd_density,cc_density,csu
06001,Alameda,0,9.0,5.1,82.661738048,4660.0793548,1.0025394993,14.3,24,50.1,34.1,7.74,39.40500091257529,1.38338330633508,4.8,720,9.568663047462774,33.4,63,44.4,0.9782807081584232,0.4866158190567738,0.33299999999999996,12.619267896730497,1,2,0.2421366429397092,0.0059891177730064474,1
06003,Alpine,1,4.9,10.3,,,12.47481688,16.0,25,18.4,65.2,5.73,681.6059757236227,6.10687022900763,82.7,530,6.0200668896321075,21.6,63,44.2,,,0.236,15.050167224080269,0,0,0.0,0.0,0
06005,Amador,1,7.9,4.2,80.384110495,6213.5108186,3.5713585722,14.0,21,59.599999999999994,36.9,5.0,27.293875069391206,2.00142959256612,22.9,279,5.486160397444997,31.6,80,39.2,1.189563562346348,0.6426538543929982,0.236,17.984386089425126,0,0,0.0,0.0,0
06007,Butte,0,8.1,7.4,77.823566815,7285.5304554,7.4378920032,17.9,23,62.0,35.0,5.17,65.39689529891005,1.61885757046645,12.1,299,7.179971658006614,21.0,75,22.8,1.3299570626445008,0.7606518036018469,0.244,16.622694332753436,0,0,0.02201915666629968,0.016070108526799583,1
06009,Calaveras,1,7.8,5.2,79.755991656,7306.2014148,2.7477156635,13.8,20,60.7,46.199999999999996,5.06,22.82524593787996,2.42811501597444,37.8,256,2.474593787678705,37.9,78,56.2,0.7295235989830883,0.38905459732849174,0.236,20.663719354653498,0,0,0.0,0.07781091946569835,0
06011,Colusa,0,7.1,10.3,79.982774011,5746.5299587,2.9514419336,11.7,20,44.5,33.199999999999996,4.46,55.44166977264256,1.44404332129964,11.1,200,5.426683537185435,25.1,77,32.0,0.9317927692881103,0.616180910715386,0.30600000000000005,22.606495149725855,0,0,0.0,0.12323618214307722,0
06013,Contra Costa,1,7.7,5.7,82.165360076,4702.7530912,2.9685104702,12.0,22,52.599999999999994,36.4,6.28,48.153668176487564,2.0018651802177,4.6,366,5.465015792411995,38.0,68,48.7,1.5504122225781316,0.657240675328648,0.281,10.024803901324828,0,0,0.08294749511801046,0.0033249949847992313,0
06015,Del Norte,1,5.8,6.3,76.04883855,8127.8842668,14.001309659,17.8,25,52.1,36.7,4.83,31.932405400900148,2.59605399792316,13.8,582,9.613225839371363,14.6,74,9.4,0.6563593932322054,0.3635537377868666,0.273,23.257475252576793,0,0,0.0,0.04544421722335833,0
06017,El Dorado,0,8.1,5.2,81.498488025,5119.9236959,6.0570052179,12.8,22,50.699999999999996,38.0,5.53,13.661128998558885,2.03642151584664,22.9,228,4.120164228300468,29.3,77,39.5,1.226822957125484,0.586082494367096,0.266,13.869773896952525,0,0,0.04285844391704748,0.039072166291139736,0
06019,Fresno,1,14.3,9.5,79.038610274,6961.0063714,4.1619960533,14.4,29,57.2,32.8,4.72,10.785887356486356,2.89085792304049,7.3,507,8.471098797205736,22.6,77,21.8,1.0560968378436404,0.5391361992823437,0.18200000000000005,22.441107726246127,0,1,0.014313025875906066,0.008252084682893015,1
